ID,time,SID,lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M,pm25
55,1/7/2020,52,21.1232473,106.2883295,5.527568,1.360940218,110.4017029,22.10124779,25.53499794,19.37499428,0.0625,78.63124847,101428.2031,42.48015417
56,1/7/2020,53,21.1527453,106.111371,5.5352697,1.631878734,115.583992,22.21736717,25.63198853,19.38900566,0.225,78.52000427,101419.7344,52.56406087
57,1/7/2020,62,21.1518069,106.1518796,5.995299,1.195000648,108.9845734,21.83374214,25.4699955,19.10997963,0,78.47499847,101364.2969,56.75508333
58,1/7/2020,66,21.1638526,105.9235646,6.0008135,1.680420756,116.3172607,22.2599926,25.64998817,19.42000771,0.25,78.52500153,101425.8984,52.37244583
59,1/7/2020,71,21.0272212,106.0342099,4.7475653,1.553522825,123.9458008,22.36499596,25.77999306,19.8699894,0.375,81.1875,101462.1016,63.04332083
60,1/7/2020,79,21.01525,105.80013,4.3072305,1.623922706,132.8789063,22.85499382,26.26000404,20.15999794,0.1875,77.67500305,101422.5,59.25333333
61,1/7/2020,155,21.1137452,105.9268934,5.2229247,1.566212654,123.1829453,22.354496,25.76699257,19.82499123,0.3625,80.92124939,101458.4844,67.26779167
62,1/7/2020,156,21.127574,105.9508299,5.7695165,1.616971731,120.1315308,22.31249428,25.71499062,19.64499855,0.3125,79.85624695,101444,71.9735625
63,1/7/2020,157,21.1277395,105.8895444,5.4764967,1.619019151,119.6912231,22.32636833,25.7354908,19.65949821,0.30625,79.77687836,101427.6406,41.98465
64,1/7/2020,158,21.1560765,106.2223111,4.7100043,1.195000648,108.9845734,21.83374214,25.4699955,19.10997963,0,78.47499847,101364.2969,46.93021667
65,1/7/2020,159,21.0377269,106.1468067,5.693217,1.526879907,111.8188324,22.36875343,25.60000038,19.64000893,0.125,78.78749847,101492.1016,58.40475417
66,1/7/2020,160,21.0353984,106.1025755,5.765338,1.553522825,123.9458008,22.36499596,25.77999306,19.8699894,0.375,81.1875,101462.1016,42.83795833
67,1/7/2020,162,21.089142,105.990311,5.6517334,1.553522825,123.9458008,22.36499596,25.77999306,19.8699894,0.375,81.1875,101462.1016,68.06982083
68,1/7/2020,163,21.0243474,106.0172877,4.988467,1.553522825,123.9458008,22.36499596,25.77999306,19.8699894,0.375,81.1875,101462.1016,53.01718333
69,1/7/2020,195,21.33847,105.3673,5.228505,1.172167301,105.2652054,22.49661636,27.65198326,19.04999352,0,76.18375397,100880.4063,17.0964625
70,1/7/2020,300,21.023532,105.853941,4.8650875,1.623922706,132.8789063,22.85499382,26.26000404,20.15999794,0.1875,77.67500305,101422.5,57.95833333
71,1/8/2020,19,21.04975,105.74187,5.922647,3.774960995,144.0256348,23.59124184,27.73998451,20.6199894,0.6875,74.9375,101429.5156,65.48541667
72,1/8/2020,51,21.2003445,105.9485439,6.696101,3.868429899,141.441391,23.52624321,28.37999916,20.5700016,0.375,72.0625,101432.1172,52.28944583
73,1/8/2020,52,21.1232473,106.2883295,5.527568,3.72256732,136.439743,23.22874069,28.41498756,20.04499245,0.15625,71.96250153,101451.4063,53.25865417
74,1/8/2020,53,21.1527453,106.111371,5.5352697,3.836958647,141.348175,23.48124313,28.34799767,20.50100136,0.35,71.98874664,101426.875,37.47177917
75,1/8/2020,62,21.1518069,106.1518796,5.995299,3.553716898,140.5092316,23.07624626,28.05999184,19.87999916,0.125,71.32500458,101379.7109,46.4631625
76,1/8/2020,66,21.1638526,105.9235646,6.0008135,3.868429899,141.441391,23.52624321,28.37999916,20.5700016,0.375,72.0625,101432.1172,48.91873333
77,1/8/2020,71,21.0272212,106.0342099,4.7475653,3.514937878,140.0926819,23.45749092,28.51998329,20.26998329,0.4375,74.57500458,101476.3125,39.8008875
78,1/8/2020,79,21.01525,105.80013,4.3072305,3.774960995,144.0256348,23.59124184,27.73998451,20.6199894,0.6875,74.9375,101429.5156,53.65666667
79,1/8/2020,155,21.1137452,105.9268934,5.2229247,3.550287008,140.2275543,23.46436691,28.50598526,20.29998589,0.43125,74.32375336,101471.8906,47.1259
80,1/8/2020,156,21.127574,105.9508299,5.7695165,3.691683769,140.7670288,23.49186707,28.44999123,20.41999245,0.40625,73.3187561,101454.2188,59.23448333
81,1/8/2020,157,21.1277395,105.8895444,5.4764967,3.673435926,140.6907959,23.48136711,28.36849022,20.43649101,0.440625,73.51875305,101437.4063,31.5051125
82,1/8/2020,158,21.1560765,106.2223111,4.7100043,3.553716898,140.5092316,23.07624626,28.05999184,19.87999916,0.125,71.32500458,101379.7109,41.96354167
83,1/8/2020,159,21.0377269,106.1468067,5.693217,3.891417742,132.3702545,23.38123512,28.76998329,20.20998573,0.1875,72.59999847,101523.1094,37.45375417
84,1/8/2020,160,21.0353984,106.1025755,5.765338,3.514937878,140.0926819,23.45749092,28.51998329,20.26998329,0.4375,74.57500458,101476.3125,36.4126375
85,1/8/2020,162,21.089142,105.990311,5.6517334,3.514937878,140.0926819,23.45749092,28.51998329,20.26998329,0.4375,74.57500458,101476.3125,54.99327083
